strain, stress
0.000000000000000000e+00, 7.351651727262206682e-04
1.010101010101010187e-02, 1.725301208686272000e-02
2.020202020202020374e-02, 3.159031051558355147e-02
3.030303030303030387e-02, 4.713564524355126628e-02
4.040404040404040747e-02, 6.037483663491520491e-02
5.050505050505051108e-02, 7.575253590419193939e-02
6.060606060606060774e-02, 9.190181099787610164e-02
7.070707070707071829e-02, 9.960935312248440920e-02
8.080808080808081495e-02, 1.026756859487053253e-01
9.090909090909091161e-02, 1.026454371964449497e-01
1.010101010101010222e-01, 1.035565305952953208e-01
1.111111111111111188e-01, 1.032469723801627964e-01
1.212121212121212155e-01, 1.032737892631007681e-01
1.313131313131313260e-01, 1.052656949581252388e-01
1.414141414141414366e-01, 1.088356536594265039e-01
1.515151515151515194e-01, 1.080502235046040815e-01
1.616161616161616299e-01, 1.096254903384682594e-01
1.717171717171717404e-01, 1.094285833653570461e-01
1.818181818181818232e-01, 1.123661218732538852e-01
1.919191919191919338e-01, 1.125157949839475785e-01
2.020202020202020443e-01, 1.132663878530972140e-01
2.121212121212121271e-01, 1.133892792521715154e-01
2.222222222222222376e-01, 1.138065403450742169e-01
2.323232323232323482e-01, 1.182092019041345310e-01
2.424242424242424310e-01, 1.163442412022858280e-01
2.525252525252525415e-01, 1.186656581974375319e-01
2.626262626262626521e-01, 1.176101059916517810e-01
2.727272727272727626e-01, 1.212699548640127079e-01
2.828282828282828731e-01, 1.222299230799687303e-01
2.929292929292929282e-01, 1.222192981377628052e-01
3.030303030303030387e-01, 1.223073517602577542e-01
3.131313131313131493e-01, 1.233121334921735424e-01
3.232323232323232598e-01, 1.256528873153851811e-01
3.333333333333333703e-01, 1.284208612902454361e-01
3.434343434343434809e-01, 1.276907686365510997e-01
3.535353535353535914e-01, 1.290596733047487954e-01
3.636363636363636465e-01, 1.283814367144221480e-01
3.737373737373737570e-01, 1.321245581189498253e-01
3.838383838383838675e-01, 1.335607419259370598e-01
3.939393939393939781e-01, 1.327988766162949141e-01
4.040404040404040886e-01, 1.336805580185260467e-01
4.141414141414141992e-01, 1.360878827930924462e-01
4.242424242424242542e-01, 1.347310568361616001e-01
4.343434343434343647e-01, 1.364361579215568054e-01
4.444444444444444753e-01, 1.384696311191035978e-01
4.545454545454545858e-01, 1.376400746581309953e-01
4.646464646464646964e-01, 1.406069021079344450e-01
4.747474747474748069e-01, 1.422772408885164541e-01
4.848484848484848619e-01, 1.422697091703364614e-01
4.949494949494949725e-01, 1.438343550353098632e-01
5.050505050505050830e-01, 1.447598456594424987e-01
5.151515151515152491e-01, 1.440044546948293924e-01
5.252525252525253041e-01, 1.457223261362663447e-01
5.353535353535353591e-01, 1.470004337284888107e-01
5.454545454545455252e-01, 1.464541783380290951e-01
5.555555555555555802e-01, 1.495522658031785412e-01
5.656565656565657463e-01, 1.502622089563261931e-01
5.757575757575758013e-01, 1.517910991316853697e-01
5.858585858585858563e-01, 1.507239734127718833e-01
5.959595959595960224e-01, 1.531628798804115787e-01
6.060606060606060774e-01, 1.529849182462263146e-01
6.161616161616162435e-01, 1.559657614989978791e-01
6.262626262626262985e-01, 1.545908552620902099e-01
6.363636363636364646e-01, 1.563640070290258088e-01
6.464646464646465196e-01, 1.570776906896739489e-01
6.565656565656565746e-01, 1.571895074480570420e-01
6.666666666666667407e-01, 1.594098376943518247e-01
6.767676767676767957e-01, 1.602116116457641404e-01
6.868686868686869618e-01, 1.611064090950937444e-01
6.969696969696970168e-01, 1.633638466011244073e-01
7.070707070707071829e-01, 1.639896588151499024e-01
7.171717171717172379e-01, 1.638616554047731821e-01
7.272727272727272929e-01, 1.675632675646836212e-01
7.373737373737374590e-01, 1.672724064892973095e-01
7.474747474747475140e-01, 1.676661710978516739e-01
7.575757575757576801e-01, 1.686712719040237840e-01
7.676767676767677351e-01, 1.695671959479199409e-01
7.777777777777777901e-01, 1.708119824147728005e-01
7.878787878787879562e-01, 1.726232415211817750e-01
7.979797979797980112e-01, 1.743674372343312073e-01
8.080808080808081773e-01, 1.752200611749498704e-01
8.181818181818182323e-01, 1.730883213347950145e-01
8.282828282828283983e-01, 1.767792646306279580e-01
8.383838383838384534e-01, 1.778597791622229252e-01
8.484848484848485084e-01, 1.789678710443066700e-01
8.585858585858586745e-01, 1.789691220251606318e-01
8.686868686868687295e-01, 1.791500941212230136e-01
8.787878787878788955e-01, 1.803618375430306175e-01
8.888888888888889506e-01, 1.835029588575227411e-01
8.989898989898991166e-01, 1.824559880717554761e-01
9.090909090909091717e-01, 1.835194687957549808e-01
9.191919191919192267e-01, 1.853879630235269471e-01
9.292929292929293927e-01, 1.861935200112318778e-01
9.393939393939394478e-01, 1.866663531604961512e-01
9.494949494949496138e-01, 1.895786349074077282e-01
9.595959595959596689e-01, 1.892179150912261520e-01
9.696969696969697239e-01, 1.917035221729743444e-01
9.797979797979798899e-01, 1.904841433583217558e-01
9.898989898989899450e-01, 1.938049178810637707e-01
1.000000000000000000e+00, 1.948291753012838246e-01
