strain, stress
0.000000000000000000e+00, 9.215105312734525253e-03
1.010101010101010187e-02, 1.593061395804252003e-02
2.020202020202020374e-02, 2.872138360635347401e-02
3.030303030303030387e-02, 3.724348579703071205e-02
4.040404040404040747e-02, 6.589013314725238046e-02
5.050505050505051108e-02, 6.717906813317632564e-02
6.060606060606060774e-02, 7.523642271812081006e-02
7.070707070707071829e-02, 1.094689595470531990e-01
8.080808080808081495e-02, 1.116634379559366813e-01
9.090909090909091161e-02, 1.202780440149223418e-01
1.010101010101010222e-01, 1.330022372208418679e-01
1.111111111111111188e-01, 1.522011706319749968e-01
1.212121212121212155e-01, 1.349368463294232101e-01
1.313131313131313260e-01, 1.551895145264010623e-01
1.414141414141414366e-01, 1.596366443044988648e-01
1.515151515151515194e-01, 1.660964985930366844e-01
1.616161616161616299e-01, 1.772553535008164483e-01
1.717171717171717404e-01, 1.921831784462339765e-01
1.818181818181818232e-01, 1.772232873360510275e-01
1.919191919191919338e-01, 1.978403404345480676e-01
2.020202020202020443e-01, 2.017985889682484824e-01
2.121212121212121271e-01, 2.195795964010550660e-01
2.222222222222222376e-01, 2.082384345751845667e-01
2.323232323232323482e-01, 2.421515050420793846e-01
2.424242424242424310e-01, 2.339321789860470679e-01
2.525252525252525415e-01, 2.288418373571719511e-01
2.626262626262626521e-01, 2.525991990724820724e-01
2.727272727272727626e-01, 2.446368971035339790e-01
2.828282828282828731e-01, 2.656595691081233279e-01
2.929292929292929282e-01, 2.587345763308633306e-01
3.030303030303030387e-01, 2.559552596164709759e-01
3.131313131313131493e-01, 2.790940631760634449e-01
3.232323232323232598e-01, 2.579924150921170667e-01
3.333333333333333703e-01, 2.735308129455212844e-01
3.434343434343434809e-01, 2.941403884581859640e-01
3.535353535353535914e-01, 2.869587445980369411e-01
3.636363636363636465e-01, 2.781687258868310586e-01
3.737373737373737570e-01, 2.837204129615048531e-01
3.838383838383838675e-01, 2.896049074778571653e-01
3.939393939393939781e-01, 3.000340669158580997e-01
4.040404040404040886e-01, 3.000197061730269232e-01
4.141414141414141992e-01, 3.055757511676872595e-01
4.242424242424242542e-01, 2.960995237369132838e-01
4.343434343434343647e-01, 3.110955183402052682e-01
4.444444444444444753e-01, 3.104716307592200186e-01
4.545454545454545858e-01, 3.096618144417166985e-01
4.646464646464646964e-01, 3.163802125259269626e-01
4.747474747474748069e-01, 3.162145384435787743e-01
4.848484848484848619e-01, 3.018385441505272437e-01
4.949494949494949725e-01, 3.278315364606552151e-01
5.050505050505050830e-01, 3.333984122754690693e-01
5.151515151515152491e-01, 3.222208836219986328e-01
5.252525252525253041e-01, 3.413751452951122589e-01
5.353535353535353591e-01, 3.431858590714116364e-01
5.454545454545455252e-01, 3.192374536321309630e-01
5.555555555555555802e-01, 3.355261574339511443e-01
5.656565656565657463e-01, 3.443610069228175141e-01
5.757575757575758013e-01, 3.283502639221698161e-01
5.858585858585858563e-01, 3.311490390642125581e-01
5.959595959595960224e-01, 3.375968802716915462e-01
6.060606060606060774e-01, 3.387767832609428487e-01
6.161616161616162435e-01, 3.406426218055536026e-01
6.262626262626262985e-01, 3.429933858799220081e-01
6.363636363636364646e-01, 3.424011304785624099e-01
6.464646464646465196e-01, 3.445353080410534230e-01
6.565656565656565746e-01, 3.597013753483809251e-01
6.666666666666667407e-01, 3.524465864087793499e-01
6.767676767676767957e-01, 3.493005815658121738e-01
6.868686868686869618e-01, 3.408614997891277199e-01
6.969696969696970168e-01, 3.542768774963615530e-01
7.070707070707071829e-01, 3.559076890346296040e-01
7.171717171717172379e-01, 3.490144548186140394e-01
7.272727272727272929e-01, 3.462670631145947087e-01
7.373737373737374590e-01, 3.654472946247629417e-01
7.474747474747475140e-01, 3.670858132690169029e-01
7.575757575757576801e-01, 3.623902501581002245e-01
7.676767676767677351e-01, 3.515813811574276526e-01
7.777777777777777901e-01, 3.666497450110487999e-01
7.878787878787879562e-01, 3.481947342183995819e-01
7.979797979797980112e-01, 3.824606504664979090e-01
8.080808080808081773e-01, 3.513139242748504198e-01
8.181818181818182323e-01, 3.626042972913210982e-01
8.282828282828283983e-01, 3.585443841878745430e-01
8.383838383838384534e-01, 3.638549252531392830e-01
8.484848484848485084e-01, 3.680164076660423222e-01
8.585858585858586745e-01, 3.662964838658139266e-01
8.686868686868687295e-01, 3.630877050802450712e-01
8.787878787878788955e-01, 3.555588478288397303e-01
8.888888888888889506e-01, 3.587377558230192554e-01
8.989898989898991166e-01, 3.521480749011702827e-01
9.090909090909091717e-01, 3.581702914796870973e-01
9.191919191919192267e-01, 3.598531474897349591e-01
9.292929292929293927e-01, 3.611605190388250675e-01
9.393939393939394478e-01, 3.687911370703977898e-01
9.494949494949496138e-01, 3.695690879385684080e-01
9.595959595959596689e-01, 3.785552847392090747e-01
9.696969696969697239e-01, 3.588264662615250344e-01
9.797979797979798899e-01, 3.718576360419777460e-01
9.898989898989899450e-01, 3.728354854911205551e-01
1.000000000000000000e+00, 3.660531621329722318e-01
