strain, stress
0.000000000000000000e+00, 2.387068842037228954e-04
1.010101010101010187e-02, 1.630099319213654946e-02
2.020202020202020374e-02, 3.454986583549088386e-02
3.030303030303030387e-02, 4.105364036766471353e-02
4.040404040404040747e-02, 4.860101791338084648e-02
5.050505050505051108e-02, 8.179903087863439615e-02
6.060606060606060774e-02, 8.787376735359403446e-02
7.070707070707071829e-02, 1.123778610580893345e-01
8.080808080808081495e-02, 1.115214312348938308e-01
9.090909090909091161e-02, 1.295862552249028576e-01
1.010101010101010222e-01, 1.696369803774134266e-01
1.111111111111111188e-01, 1.727293798196877228e-01
1.212121212121212155e-01, 1.720948118240385183e-01
1.313131313131313260e-01, 1.920030763550245878e-01
1.414141414141414366e-01, 2.039210866772754316e-01
1.515151515151515194e-01, 2.317339203771887068e-01
1.616161616161616299e-01, 2.482301003359807801e-01
1.717171717171717404e-01, 2.418682843473686228e-01
1.818181818181818232e-01, 2.520056598973117734e-01
1.919191919191919338e-01, 2.980044010526701759e-01
2.020202020202020443e-01, 3.022706285234683099e-01
2.121212121212121271e-01, 3.175064487469963503e-01
2.222222222222222376e-01, 3.293808563339093443e-01
2.323232323232323482e-01, 3.554717536096239083e-01
2.424242424242424310e-01, 3.666860032422898374e-01
2.525252525252525415e-01, 3.893855324146982544e-01
2.626262626262626521e-01, 3.876162290576971592e-01
2.727272727272727626e-01, 4.160876282017999528e-01
2.828282828282828731e-01, 4.203841170742662614e-01
2.929292929292929282e-01, 4.342329984460333026e-01
3.030303030303030387e-01, 4.523452721909627661e-01
3.131313131313131493e-01, 4.812724706029198329e-01
3.232323232323232598e-01, 4.933256010093541311e-01
3.333333333333333703e-01, 5.059084634968410432e-01
3.434343434343434809e-01, 5.122838994978324845e-01
3.535353535353535914e-01, 5.363755295094184694e-01
3.636363636363636465e-01, 5.489172036259165610e-01
3.737373737373737570e-01, 5.615514301662563046e-01
3.838383838383838675e-01, 5.755559026844851989e-01
3.939393939393939781e-01, 6.076699903316531426e-01
4.040404040404040886e-01, 6.074696294720763889e-01
4.141414141414141992e-01, 6.251272360429346309e-01
4.242424242424242542e-01, 6.471560907884826852e-01
4.343434343434343647e-01, 6.680120114787444496e-01
4.444444444444444753e-01, 6.808598121504281231e-01
4.545454545454545858e-01, 6.855277758722944093e-01
4.646464646464646964e-01, 6.905269905155388965e-01
4.747474747474748069e-01, 7.092323960160026308e-01
4.848484848484848619e-01, 7.217941676315481336e-01
4.949494949494949725e-01, 7.341857218732832369e-01
5.050505050505050830e-01, 7.508592899985155888e-01
5.151515151515152491e-01, 7.822458435579030533e-01
5.252525252525253041e-01, 8.000558566615032507e-01
5.353535353535353591e-01, 7.965226946901331484e-01
5.454545454545455252e-01, 8.142099763865238149e-01
5.555555555555555802e-01, 8.356449780637619229e-01
5.656565656565657463e-01, 8.592183661969622355e-01
5.757575757575758013e-01, 8.716898631541333264e-01
5.858585858585858563e-01, 8.846384122506221193e-01
5.959595959595960224e-01, 9.031547399782778873e-01
6.060606060606060774e-01, 9.114072479807697746e-01
6.161616161616162435e-01, 9.330512987372244771e-01
6.262626262626262985e-01, 9.340421918733805562e-01
6.363636363636364646e-01, 9.614416946733763680e-01
6.464646464646465196e-01, 9.716618823088832846e-01
6.565656565656565746e-01, 9.834231316169278481e-01
6.666666666666667407e-01, 9.975262626444714176e-01
6.767676767676767957e-01, 1.007217302353683230e+00
6.868686868686869618e-01, 1.036525021004887748e+00
6.969696969696970168e-01, 1.052638354390210917e+00
7.070707070707071829e-01, 1.052478300200714756e+00
7.171717171717172379e-01, 1.084944481290395224e+00
7.272727272727272929e-01, 1.086859503991388642e+00
7.373737373737374590e-01, 1.103400507646601358e+00
7.474747474747475140e-01, 1.104531216162339957e+00
7.575757575757576801e-01, 1.136212151089975197e+00
7.676767676767677351e-01, 1.155221183239240279e+00
7.777777777777777901e-01, 1.154954111298590158e+00
7.878787878787879562e-01, 1.186244784835429833e+00
7.979797979797980112e-01, 1.184680584612281429e+00
8.080808080808081773e-01, 1.198041312792027968e+00
8.181818181818182323e-01, 1.229441809770579486e+00
8.282828282828283983e-01, 1.241565339389815614e+00
8.383838383838384534e-01, 1.265318114641969638e+00
8.484848484848485084e-01, 1.268079310613660304e+00
8.585858585858586745e-01, 1.289496405762709852e+00
8.686868686868687295e-01, 1.308645202166124566e+00
8.787878787878788955e-01, 1.317779718279994627e+00
8.888888888888889506e-01, 1.332810030704998372e+00
8.989898989898991166e-01, 1.362963296218182130e+00
9.090909090909091717e-01, 1.375936076697964028e+00
9.191919191919192267e-01, 1.389353631220488161e+00
9.292929292929293927e-01, 1.393889778749748842e+00
9.393939393939394478e-01, 1.417885052932525758e+00
9.494949494949496138e-01, 1.423588487951132020e+00
9.595959595959596689e-01, 1.440960212837950172e+00
9.696969696969697239e-01, 1.451036152590654993e+00
9.797979797979798899e-01, 1.472238037062607585e+00
9.898989898989899450e-01, 1.489303464349571504e+00
1.000000000000000000e+00, 1.505488822388102887e+00
