{'temperature':534.67, 'engineering_strain_rate':1800 }
time, transmitted displacement, incident displacement, load, engineering_strain, engineering_stress, displacement
2.315999999999999849e-05,3.103500000000000017e-06,3.494799999999999980e-06,5.502649893000000247e+01,-7.341900000000000162e-04,4.391000000000000014e+00,1.540551181102362195e-05
3.929999999999999303e-05,9.236900000000001297e-06,9.427599999999999319e-06,3.103488245000000347e+02,-7.810900000000000178e-04,2.476500000000000057e+01,7.507874015747953824e-06
4.749999999999999584e-05,6.170199999999999810e-06,2.327099999999999793e-05,5.382377077999999528e+02,7.479799999999999774e-04,4.295000000000000284e+01,6.732598425196849312e-04
5.243999999999999259e-05,4.636899999999999599e-06,2.327099999999999793e-05,6.387947735000000193e+02,8.109600000000000012e-04,5.097500000000000142e+01,7.336259842519684583e-04
5.725999999999999726e-05,-6.096599999999999363e-06,2.722599999999999988e-05,6.713920785000000251e+02,2.077300000000000240e-03,5.357500000000000284e+01,1.311913385826771628e-03
6.175999999999999145e-05,1.537000000000000023e-05,3.513599999999999699e-05,6.725161235000000488e+02,2.326799999999999962e-03,5.366600000000000392e+01,7.781889763779526337e-04
6.626000000000000596e-05,2.610399999999999944e-05,4.700199999999999485e-05,6.833294363999999632e+02,3.129300000000000224e-03,5.452799999999999869e+01,8.227559055118108169e-04
7.073999999999999017e-05,1.997000000000000023e-05,6.084499999999999766e-05,7.005498057999999446e+02,4.988099999999999652e-03,5.590299999999999869e+01,1.609251968503936899e-03
7.522000000000000149e-05,1.383699999999999983e-05,7.271000000000000011e-05,7.065971679000000449e+02,8.141800000000001120e-03,5.638499999999999801e+01,2.317834645669291423e-03
7.969999999999999925e-05,1.383699999999999983e-05,9.248600000000000863e-05,7.169159010000000762e+02,8.999300000000000008e-03,5.720799999999999841e+01,3.096417322834646348e-03
8.417999999999999702e-05,1.537000000000000023e-05,1.063299999999999933e-04,7.390595875000000206e+02,1.199599999999999972e-02,5.897699999999999676e+01,3.581102362204724183e-03
8.865999999999999478e-05,9.236900000000001297e-06,1.340199999999999942e-04,7.561450715000000855e+02,1.566599999999999937e-02,6.033899999999999864e+01,4.912720472440944633e-03
9.313999999999999255e-05,2.457000000000000023e-05,1.537900000000000031e-04,7.684870856000000003e+02,1.758200000000000041e-02,6.132399999999999807e+01,5.087401574803150466e-03
9.762000000000000386e-05,1.690399999999999943e-05,1.913700000000000058e-04,7.830771897000000763e+02,2.158399999999999902e-02,6.248799999999999955e+01,6.868740157480316029e-03
1.020999999999999881e-04,1.997000000000000023e-05,2.190500000000000118e-04,7.986339725000000271e+02,2.563299999999999954e-02,6.372999999999999687e+01,7.837795275590551947e-03
1.065799999999999994e-04,2.763699999999999984e-05,2.408099999999999932e-04,8.132690383999999995e+02,2.851199999999999915e-02,6.489799999999999613e+01,8.392637795275589840e-03
1.110599999999999972e-04,1.230400000000000112e-05,2.843100000000000206e-04,8.252513581000000613e+02,3.337500000000000189e-02,6.585500000000000398e+01,1.070889763779527687e-02
1.155399999999999949e-04,1.690399999999999943e-05,3.159500000000000090e-04,8.401337138999999752e+02,3.854700000000000487e-02,6.704099999999999682e+01,1.177346456692913469e-02
1.200199999999999927e-04,3.377099999999999904e-05,3.653899999999999965e-04,8.562750001000000566e+02,4.257699999999999679e-02,6.832999999999999829e+01,1.305586614173228494e-02
1.244999999999999904e-04,2.917000000000000024e-05,3.990099999999999897e-04,8.692464793999999983e+02,4.725800000000000139e-02,6.936599999999999966e+01,1.456062992125984126e-02
1.289799999999999747e-04,3.377099999999999904e-05,4.425200000000000119e-04,8.821954778000000488e+02,5.255499999999999755e-02,7.039900000000000091e+01,1.609248031496062978e-02
1.334600000000000131e-04,2.917000000000000024e-05,4.919600000000000535e-04,8.957514605000000074e+02,5.844600000000000489e-02,7.148000000000000398e+01,1.822007874015748111e-02
1.379399999999999973e-04,1.077000000000000022e-05,5.295299999999999530e-04,9.084082072000001062e+02,6.414799999999999669e-02,7.248899999999999011e+01,2.042362204724409297e-02
1.424199999999999815e-04,2.610399999999999944e-05,5.809499999999999994e-04,9.208176640000000361e+02,6.951900000000001134e-02,7.348000000000000398e+01,2.184433070866141982e-02
1.468999999999999928e-04,3.223699999999999645e-05,6.264400000000000263e-04,9.320356330999999273e+02,7.364099999999999813e-02,7.437500000000000000e+01,2.339381889763779768e-02
1.513799999999999770e-04,2.763699999999999984e-05,6.738999999999999548e-04,9.446474180000000160e+02,7.940200000000000036e-02,7.538200000000000500e+01,2.544342519685039578e-02
1.558600000000000155e-04,3.377099999999999904e-05,7.213599999999999917e-04,9.558878680000000259e+02,8.544700000000000906e-02,7.627899999999999636e+01,2.707043307086614073e-02
1.603399999999999997e-04,2.917000000000000024e-05,7.747500000000000480e-04,9.660941965999999184e+02,9.114500000000000379e-02,7.709399999999999409e+01,2.935354330708661585e-02
1.648199999999999839e-04,3.070400000000000283e-05,8.143099999999999471e-04,9.755136937000000898e+02,9.701500000000000401e-02,7.784399999999999409e+01,3.085062992125984019e-02
1.692999999999999952e-04,3.683699999999999984e-05,8.637500000000000429e-04,9.838541075999999066e+02,1.024400000000000033e-01,7.851000000000000512e+01,3.255562992125984878e-02
1.737800000000000065e-04,3.377099999999999904e-05,9.151600000000000403e-04,9.934759328000000096e+02,1.067499999999999977e-01,7.927899999999999636e+01,3.470035433070866454e-02
1.782599999999999907e-04,2.917000000000000024e-05,9.566899999999999493e-04,1.002962872599999969e+03,1.128400000000000097e-01,8.003499999999999659e+01,3.651653543307086663e-02
1.827400000000000020e-04,2.610399999999999944e-05,1.004200000000000014e-03,1.011820347200000128e+03,1.178200000000000081e-01,8.074099999999999966e+01,3.850771653543307027e-02
1.872199999999999863e-04,2.610399999999999944e-05,1.059500000000000112e-03,1.021374729700000103e+03,1.236799999999999983e-01,8.150399999999999068e+01,4.068488188976378261e-02
1.916999999999999705e-04,2.303699999999999983e-05,1.099099999999999990e-03,1.029670181799999909e+03,1.300000000000000044e-01,8.216599999999999682e+01,4.236468503937007579e-02
